reviewId,userName,content,score,thumbsUpCount,at,appVersion,Sentiment,Sentiment Score
daaee254-071b-4c08-a17a-a1887395ef85,Muhammad Muhammad,Very good and very easy,5,0,2023-05-29 11:37:51,,POSITIVE,0.998770534992218
436fb9fa-2320-48c5-9dbe-6003fd505421,Maksud “SAFA” Suborna,M+S,5,0,2023-05-28 19:42:45,,POSITIVE,0.9600100517272949
0a2e3b13-aa3e-4a4f-a14d-f4031e5bbfda,Saleem Akthar,Good,5,0,2023-05-28 19:09:55,,POSITIVE,0.9984152317047119
c809f8cd-3418-41a3-a036-edab6f829ea4,MD abul kalam Abul kalam,Bet service,1,0,2023-05-28 18:09:11,1.8.4,NEGATIVE,0.6873660683631897
825f3bf2-7d60-4da8-917d-56e91b060da7,Abdul Latheef Vp,Super,5,0,2023-05-27 21:35:29,1.8.4,POSITIVE,0.9985753297805786
c7c180f5-ce8a-4f9e-980a-a54365003a1f,Ratul Ahmad Raj,Nice,5,0,2023-05-26 22:31:43,1.8.4,POSITIVE,0.9977694749832153
97b2df91-f72e-4894-a689-bb98b37488d2,Jamshed Tiwana,Very nice,5,0,2023-05-26 04:25:27,,POSITIVE,0.9986618757247925
746bf156-eb69-4e35-bcbb-cdf5e1a15f16,Ishalina Dhofir,Mendukung,5,0,2023-05-25 20:05:40,,POSITIVE,0.990607500076294
55517c99-9a55-4aed-9780-b4df6bf52155,Dhofir Abdurahman,Bagus,5,0,2023-05-25 19:52:12,1.5.0,NEGATIVE,0.9840545058250427
1b941e01-3fdd-45bd-8598-84daee547dc3,Asif Aslam,Good work this aap,5,0,2023-05-25 10:17:49,1.8.4,POSITIVE,0.9986974596977234
b64412e3-864d-4e4e-bd35-0531b6433de2,Naim Hossain,It's good,3,0,2023-05-24 16:39:33,,POSITIVE,0.9981504082679749
619f962b-3a88-4d9b-99e5-17d5142b8abd,Iftakhar Khan,Good,5,0,2023-05-22 18:33:57,1.5.0,POSITIVE,0.9984152317047119
5bedcc8a-0aab-4196-beeb-0d73a5723f98,Shafiq Chaudhry,Could never sign up or register as visitors,1,0,2023-05-22 00:22:01,1.8.4,NEGATIVE,0.9994851350784302
d38bd231-f500-4a2c-9c69-449322abebee,Samad Khan,Its is best,5,0,2023-05-21 14:43:24,1.8.4,POSITIVE,0.9984209537506104
85f44576-5b16-40e7-b779-7f4b4dd30e98,Jaffar Khan,Good,5,1,2023-05-19 18:40:14,,POSITIVE,0.9984152317047119
28660be5-4c98-44b3-86d8-cc57485e4dc4,Is_7m 9,Very foos,5,0,2023-05-19 15:42:29,1.3.2,POSITIVE,0.992361307144165
655512f7-1e6e-46aa-b450-45fd1d5196e5,Torikul Islam,It's fine,5,0,2023-05-18 18:04:59,1.8.4,NEGATIVE,0.8540022373199463
46b207ea-110f-489e-8862-8d417a78fcf5,Habib Mashwani,❤️ ❤️,5,0,2023-05-18 14:11:45,,POSITIVE,0.9982798099517822
68e42f75-70c5-4d72-8fdc-d7e1e23ad61a,Hi Ji,Iixw a db,1,0,2023-05-18 09:41:39,1.7.0,POSITIVE,0.982161819934845
44db1a3e-4509-4d54-9b02-f8f142d5bf92,AAlamin amin,Nice,5,0,2023-05-17 20:54:46,,POSITIVE,0.9977694749832153
2ee66361-38e5-441b-9a01-60831a8faac6,Atiii Writes,On my device OPPO F21 PRO 5G .. This app is not working,1,0,2023-05-17 20:53:38,1.1.0,NEGATIVE,0.9994235038757324
5ffea3c5-a603-4899-a771-b0107e419f34,Muzaffar khan Khan,rightrightrighte,1,0,2023-05-17 19:21:17,1.8.4,POSITIVE,0.8801218867301941
f8275b85-ccb6-4be4-858e-706dd3eedd4e,Sarah Alghamdi,"I don't wish to receive notifications of other services that are not personally my concern, please make getting notifications that are not directly my business as a choice, and not compulsory. For example, why would I care about something called LEAP, or Ehsan, or... Etc. My concern should by about my dependant, Moror fees, ID renewal and such. This makes it really difficult for me to actually see something that is my business.",5,32,2023-05-16 15:02:30,1.8.4,NEGATIVE,0.9994827508926392
